DCounts,Refs,R
644.00,0.5415,2
646.00,0.5415,2
640.00,0.5415,2
642.00,0.5415,2
640.00,0.5415,2
641.00,0.5415,2
643.00,0.5415,2
641.00,0.5415,2
642.00,0.5415,2
644.00,0.5415,2
641.00,0.5415,2
644.00,0.5415,2
644.00,0.5415,2
642.00,0.5415,2
639.00,0.5415,2
641.00,0.5415,2
642.00,0.5415,2
640.00,0.5415,2
640.00,0.5415,2
639.00,0.5415,2
642.00,0.5415,2
641.00,0.5415,2
641.00,0.5415,2
644.00,0.5415,2
641.00,0.5415,2
644.00,0.5415,2
643.00,0.5415,2
642.00,0.5415,2
645.00,0.5415,2
643.00,0.5415,2
640.00,0.5415,2
642.00,0.5415,2
639.00,0.5415,2
640.00,0.5415,2
646.00,0.5415,2
641.00,0.5415,2
641.00,0.5415,2
640.00,0.5415,2
643.00,0.5415,2
643.00,0.5415,2
642.00,0.5415,2
641.00,0.5415,2
644.00,0.5415,2
642.00,0.5415,2
642.00,0.5415,2
643.00,0.5415,2
644.00,0.5415,2
640.00,0.5415,2
639.00,0.5415,2
641.00,0.5415,2
639.00,0.5415,2
643.00,0.5415,2
648.00,0.5415,2
643.00,0.5415,2
641.00,0.5415,2
643.00,0.5415,2
643.00,0.5415,2
641.00,0.5415,2
642.00,0.5415,2
641.00,0.5415,2
643.00,0.5415,2
644.00,0.5415,2
644.00,0.5415,2
644.00,0.5415,2
641.00,0.5415,2
643.00,0.5415,2
640.00,0.5415,2
640.00,0.5415,2
639.00,0.5415,2
640.00,0.5415,2
648.00,0.5415,2
642.00,0.5415,2
641.00,0.5415,2
641.00,0.5415,2
643.00,0.5415,2
643.00,0.5415,2
640.00,0.5415,2
640.00,0.5415,2
643.00,0.5415,2
643.00,0.5415,2
644.00,0.5415,2
643.00,0.5415,2
643.00,0.5415,2
641.00,0.5415,2
642.00,0.5415,2
641.00,0.5415,2
643.00,0.5415,2
641.00,0.5415,2
648.00,0.5415,2
641.00,0.5415,2
